,ball_no,total_innings,mean_runs,cumal_runs,batsman
94,95,40.0,0.9,88.9094939588,ViratKohli
95,96,37.0,1.13513513514,90.0446290939,ViratKohli
96,97,37.0,0.837837837838,90.8824669318,ViratKohli
97,98,37.0,1.13513513514,92.0176020669,ViratKohli
98,99,35.0,1.05714285714,93.0747449241,ViratKohli
99,100,33.0,0.969696969697,94.0444418938,ViratKohli
100,101,33.0,1.09090909091,95.1353509847,ViratKohli
101,102,33.0,0.939393939394,96.0747449241,ViratKohli
102,103,31.0,1.41935483871,97.4940997628,ViratKohli
103,104,30.0,1.2,98.6940997628,ViratKohli
104,105,29.0,1.31034482759,100.00444459,ViratKohli
105,106,29.0,1.20689655172,101.211341142,ViratKohli
106,107,27.0,1.48148148148,102.692822624,ViratKohli
107,108,23.0,1.13043478261,103.823257406,ViratKohli
108,109,22.0,1.18181818182,105.005075588,ViratKohli
109,110,20.0,1.65,106.655075588,ViratKohli
110,111,20.0,1.15,107.805075588,ViratKohli
111,112,20.0,1.65,109.455075588,ViratKohli
112,113,20.0,0.85,110.305075588,ViratKohli
113,114,18.0,1.77777777778,112.082853366,ViratKohli
114,115,18.0,0.944444444444,113.02729781,ViratKohli
115,116,16.0,1.5,114.52729781,ViratKohli
116,117,16.0,1.1875,115.71479781,ViratKohli
117,118,16.0,1.0625,116.77729781,ViratKohli
118,119,15.0,1.6,118.37729781,ViratKohli
119,120,13.0,1.69230769231,120.069605503,ViratKohli
120,121,12.0,2.0,122.069605503,ViratKohli
121,122,11.0,1.45454545455,123.524150957,ViratKohli
122,123,10.0,1.6,125.124150957,ViratKohli
123,124,10.0,0.8,125.924150957,ViratKohli
124,125,10.0,1.6,127.524150957,ViratKohli
125,126,9.0,1.33333333333,128.85748429,ViratKohli
126,127,9.0,0.222222222222,129.079706513,ViratKohli
127,128,7.0,2.57142857143,131.651135084,ViratKohli
128,129,7.0,1.0,132.651135084,ViratKohli
129,130,5.0,3.6,136.251135084,ViratKohli
130,131,4.0,1.25,137.501135084,ViratKohli
131,132,4.0,1.5,139.001135084,ViratKohli
132,133,4.0,2.75,141.751135084,ViratKohli
133,134,4.0,3.0,144.751135084,ViratKohli
134,135,4.0,3.25,148.001135084,ViratKohli
135,136,3.0,0.666666666667,148.667801751,ViratKohli
136,137,3.0,1.0,149.667801751,ViratKohli
137,138,3.0,2.66666666667,152.334468417,ViratKohli
138,139,3.0,1.0,153.334468417,ViratKohli
139,140,3.0,1.0,154.334468417,ViratKohli
140,141,3.0,1.66666666667,156.001135084,ViratKohli
141,142,3.0,1.66666666667,157.667801751,ViratKohli
142,143,2.0,2.0,159.667801751,ViratKohli
143,144,2.0,0.5,160.167801751,ViratKohli
144,145,2.0,1.0,161.167801751,ViratKohli
145,146,2.0,1.0,162.167801751,ViratKohli
146,147,2.0,0.5,162.667801751,ViratKohli
147,148,2.0,2.5,165.167801751,ViratKohli
148,149,2.0,1.0,166.167801751,ViratKohli
149,150,2.0,1.0,167.167801751,ViratKohli
150,151,2.0,0.5,167.667801751,ViratKohli
151,152,1.0,1.0,168.667801751,ViratKohli
152,153,1.0,1.0,169.667801751,ViratKohli
153,154,1.0,0.0,169.667801751,ViratKohli
154,155,1.0,0.0,169.667801751,ViratKohli
155,156,1.0,1.0,170.667801751,ViratKohli
156,157,1.0,1.0,171.667801751,ViratKohli
157,158,1.0,1.0,172.667801751,ViratKohli
